id,title,organiser,start,end,city,country,region,format,topics,audience,cost,costDisplay,url,flags,summary
EVT-995BC15BF2,"Recent trends and enforcement priorities in Latin American competition law: insights from Argentina, Brazil, Colombia and Mexico",International Bar Association,2026-08-04,2026-08-04,Virtual,,Global,Virtual,Enforcement,Mixed,Paid,Book now,https://www.ibanet.org/conference-details/CONF2924,,Webinar examining current competition law enforcement trends and regulatory priorities across four major Latin American jurisdictions including cross-border enforcement issues.
EVT-E4AA5D446B,Young ICCA Cross Examination Masterclass & Showcase,Young ICCA,2026-08-18,2026-08-18,Lima,Peru,LATAM,In-person,Arbitration; Disputes,Mixed,Free,Register,https://www.youngicca.org/young-icca-cross-examination-masterclass-showcase,,Interactive skills workshop focused on cross-examination techniques for arbitration practitioners. Combines masterclass instruction with practical showcase demonstrations.
EVT-A199FBAB25,43rd Cambridge International Symposium on Economic Crime,Cambridge International Symposium on Economic Crime,2026-08-23,2026-08-30,Cambridge,United Kingdom,UK,In-person,Financial Crime; Fraud; AML; Bribery; ABC; Enforcement; Compliance; Networking,Mixed,Paid,Register,https://www.crimesymposium.org/register,Flagship,"Week-long annual symposium at Jesus College, Cambridge covering all aspects of economic crime including fraud, AML, bribery, and enforcement. Offers full week or daily attendance options with meals and networking."
EVT-28957BBFB2,Cambridge International Symposium on Economic Crime,Cambridge International Symposium on Economic Crime,2026-08-23,2026-08-30,Cambridge,United Kingdom,UK,In-person,Financial Crime; Fraud; AML; ABC; Bribery; Sanctions; Market Abuse; Tax Evasion; Enforcement; Compliance,Mixed,Paid,Registration form available,https://www.crimesymposium.org/s/2026-Registration-Form.pdf,Flagship,"Week-long symposium at Jesus College covering economic crime topics including fraud, money laundering, bribery, sanctions, market abuse, and enforcement. Full-week or day-ticket options available with meals and networking included."
EVT-7D99DFA81C,Singapore Convention Week,Singapore Convention Week,2026-08-24,2026-08-28,Singapore,Singapore,APAC,In-person,Arbitration; Mediation; Disputes,Mixed,Paid,Further information,https://www.singaporeconventionweek.sg/,Flagship,"Week-long event bringing together legal practitioners, arbitrators, mediators, corporate counsel, and business professionals from over 100 countries."
EVT-71303CE203,From Positions to Outcomes: Negotiation in Practice,Young ICCA,2026-08-26,2026-08-26,Singapore,Singapore,APAC,In-person,Arbitration; Disputes; Networking,Junior,Free,Register,https://www.youngicca.org/positions-outcomes-negotiation-practice-young-icca-skills-workshop,,Interactive skills workshop teaching negotiation techniques for young arbitration practitioners. Focuses on moving from positional bargaining to outcome-oriented strategies in dispute resolution contexts.
EVT-DCB849DC2D,"IBA Asia Pacific Arbitration Group Symposium: international arbitration in a fragmented world - geopolitics, sovereign immunity, and new paths to resolution",International Bar Association,2026-08-26,2026-08-26,Singapore,Singapore,APAC,In-person,Arbitration; Disputes,Mixed,Paid,Sold out,https://www.ibanet.org/conference-details/CONF2871,,"Symposium examining international arbitration challenges in a geopolitically fragmented world, including sovereign immunity issues and alternative dispute resolution paths."
EVT-2B19DCBCEA,YIAG & CIArb YMG Fireside Chat and Meet & Mingle in Singapore,LCIA YIAG,2026-08-26,2026-08-26,Singapore,Singapore,APAC,In-person,Arbitration; Networking,Junior,Free,Register,https://www.lcia.org/events/yiag-fireside-chat-and-meet-and-mingle-in-singapore-387.aspx,,"Informal Q&A session with LCIA Director General Kevin Nash for younger arbitration practitioners in Singapore, followed by networking."
EVT-DFA82929DE,From Positions to Outcomes: Negotiation in Practice – a Young ICCA Skills Workshop,Young ICCA,2026-08-26,2026-08-26,Singapore,Singapore,APAC,In-person,Arbitration; Mediation; Disputes,Mixed,Free,Register,https://www.youngicca.org/positions-outcomes-negotiation-practice-young-icca-skills-workshop,,"Practical skills training workshop teaching negotiation techniques for arbitration advocates, focusing on transitioning from adversarial positions to settlement outcomes."
EVT-6FE6829336,ADR Practitioner's Workshop,CIArb,2026-08-26,2026-08-26,Virtual,,Global,Virtual,Arbitration; Disputes,Junior,Paid,Register,https://www.ciarb.org/events/adr-practitioner-s-workshop/,,Half-day workshop providing practical insight into the initial stages of commercial arbitration and building practitioner confidence.
